ID,Application Address,Geocode Address,Map-Lot,Neighborhood,Year Permitted,Fiscal Year Permitted,Prior Use,Permitted Use,Housing Starts,Net Change in Units,Location
682,50 York St,50 York St,40-243,3,2017,FY18,vacant,16 units,16,16,"(42.36948565, -71.09197263)"
645,95 Fawcett St,87 Fawcett St,267F-284,12,2017,FY17,Warehouse,44 Units,44,44,"(42.39215089, -71.14629944)"
70,139-155 BROOKLINE St,155 Brookline St,94-158,5,1998,,Storage,20 Units,20,20,"(42.36012445, -71.10525407)"
630,44 Market St,44 Market St,76-4,4,2016,FY17,3 Units,4 Units,1,0,"(42.36812395, -71.09642161)"
366,122 Clifton St,122 Clifton St,269-118,11,2008,,Vacant,2 Units,2,2,"(42.39711386, -71.13651683)"
139,650 Concord Ave,650 Concord Ave,266-33,12,2000,,Neville Manor,Assisted Living Units,71,71,"(42.38950826, -71.14941119)"
761,362 Broadway,362 Broadway,108-70,6,2019,FY20,1 unit,vacant,0,-1,"(42.37047094, -71.10422531)"
102,165 Western Ave,165 Western Ave,123-78,7,1998,,2 Units,9 Unit Sro,9,7,"(42.36500316, -71.109371)"
480,9 Montague St,9 Montague St,126-131,7,2012,,Commerical,3 Units,3,3,"(42.3639205, -71.11324266)"
348,52 Loomis St,55 Loomis St,267C-92,12,2007,,Commercial/Vacant,7 Units,7,7,"(42.39378345, -71.15357214)"
334,130 Fayerweather St,130 Fayerweather St,263-72,10,2007,,2 Units,2 Units,2,0,"(42.38357694, -71.136462)"
629,482 HURON Ave,482 Huron Ave,247-120,10,2016,FY17,2 Units,1 Unit,1,-1,"(42.38018849, -71.14307696)"
250,323-325 Elm St East,323 Elm St,82-47,3,2005,,Commercial,8 Units,8,8,"(42.37406808, -71.09511843)"
519,20 DEWOLFE ST,20 Dewolfe St,132-152,7,2014,FY14,Dorm Activity Room,1 Unit,1,1,"(42.37003373, -71.11662318)"
469,199 Erie St,199 Erie St,103-14,5,2012,,Vacant/Was Convent,4 Units,4,4,"(42.36046481, -71.10799586)"
235,350 Third St,350 Third St,14-1038,1,2004,,Commercial,321 Units,321,321,"(42.36368403, -71.08335367)"
1,136 APPLETON St,136 Appleton St,231-28,10,1996,,4 Units,5 Units,5,1,"(42.38119413, -71.13397295)"
778,73 School St,73 School St,74-10,4,2019,FY20,1 unit,2 units,2,1,"(42.36398462, -71.09733218)"
556,18-32 Whittemore Ave,18 Whittemore Ave,188-148,11,2014,FY15,Greenhouses,6 Units,6,6,"(42.398407, -71.13517015)"
666,9 Decatur St,9 Decatur St,94-61,5,2017,FY18,commercial,2 units,2,2,"(42.36103037, -71.10493869)"
89,205-207 Norfolk St,205 Norfolk St,87-103,4,1998,,3 Units,4 Units,4,1,"(42.36918588, -71.09876075)"
482,38 Union St,38 Union St,79-65,3,2012,,Vacant,1 Unit,1,1,"(42.37025949, -71.09491402)"
353,189 Pearl St,189 Pearl St,103-112,5,2007,,Parsonage,2 Units,2,1,"(42.36021279, -71.10763543)"
409,38-40 Avon St,38 Avon St,212-47,9,2010,,1 Unit,2 Unit,2,1,"(42.38288079, -71.12306883)"
171,171-273 Harvey St,171 Harvey St,190-248,11,2001,,Vacant Lot,2 Units,2,2,"(42.3975436, -71.13532975)"
524,53 Jay St,53 Jay St,123-29,7,2014,FY14,2 Units,Vacant Lot,0,-2,"(42.36611563, -71.11035458)"
583,411 Broadway,411 Broadway,139-34,6,2015,FY16,3 Units,2 Units,1,-1,"(42.37253678, -71.10879209)"
763,50 Cambridgepark Dr,36 Cambridgepark Dr,265D-50,11,2019,FY20,commercial,294 units,294,294,"(42.39450362, -71.14381824)"
116,22 LEE St,22 Lee St,117-35,6,1999,,3 Units,1 Unit,1,-2,"(42.36862466, -71.10676004)"
683,56 Alpine St,56 Alpine St,260-54,10,2018,FY18,1 unit,2 units,2,1,"(42.38480913, -71.13746097)"
730,384 Broadway,384 Broadway,115-11,6,2019,FY19,2 units,1 unit,1,-1,"(42.37113065, -71.1059544)"
218,24-27 Bellis Circle,24 Bellis Circle,271-16,9,2004,,1 Unit,4 Units,4,3,"(42.3897771, -71.13388612)"
277,85 Thorndike St,85 Thorndike St,25-37,1,2005,,3 Units,1 Unit,1,-2,"(42.36998738, -71.08195163)"
309,8 Museum Way,8 Museum Way,1A-109,1,2006,,2 Units,1 Unit,1,-1,"(42.37005115, -71.07167835)"
742,14 Jackson St,14 Jackson St,193-15,11,2019,FY19,1 unit,2 units,2,1,"(42.39399964, -71.13528705)"
6,51-53 BRIStOL St,51 Bristol St,40-40,3,1996,,9 Units,11 Units,11,2,"(42.36834376, -71.09265017)"
450,120-122 Oxford St,120 Oxford St,151-54,8,2011,,5 Units,3 Units,2,-2,"(42.38406831, -71.11565992)"
121,384 Prospect St,384 Prospect St,82-1,3,1999,,Carrige House,1 Unit,1,1,"(42.37443187, -71.09719663)"
248,773 Concord Ave,773 Concord Ave,267D-289,12,2005,,Vacant/Friendly'S,25 Units,25,25,"(42.39078033, -71.15461499)"
380,30 Jay St,30 Jay St,123-18,7,2008,,1 Unit,4 Units,4,3,"(42.3655583, -71.10988422)"
441,16 Hazel St,16 Hazel St,262-32,9,2011,,1 Unit,2 Units,2,1,"(42.38600419, -71.13438972)"
655,78-80 Pearl St,78 Pearl St,93-5,5,2017,FY17,Gas Station,2 Units,2,2,"(42.36298392, -71.10432986)"
512,164 PEMBERTON St,164 Pemberton St,195-104,11,2013,FY14,2 Units,1 Unit,1,-1,"(42.39085763, -71.13010658)"
615,2 Rice Circle,2 Rice Circle,192-173,11,2016,FY16,3 Units,2 Units,2,-1,"(42.39467522, -71.12982071)"
270,NP North Point Bldg S,1 Earhart St,ERROR: #N/A,1,2005,,Vacant/Industrial,99 Units,99,99,"(42.37113759, -71.07463)"
677,55 REGENT St,55 REGENT St,200-56,11,2017,FY18,commercial,3 units,3,3,"(42.38946904, -71.12261988)"
203,46 Highland Ave,46 Highland Ave,112-96,6,2003,,4 Unit,2 Units,2,-2,"(42.37293437, -71.10562236)"
598,65 Pleasant St,65 Pleasant St,125-78,5,2015,FY16,2 Units,1 Unit,1,-1,"(42.36301094, -71.10955178)"
11,32 CUSHING St,32 Cushing St,255-106,13,1996,,Vacant Lot,3 Units,3,3,"(42.37575022, -71.15178367)"
386,1131 Massachusetts Ave,1 Remington St,134-7,6,2008,,Mixed Use,Hotel,,-7,"(42.37106707, -71.11375566)"
385,931 Massachusetts Ave,931 Massachusetts Ave,116-99,6,2008,,2 Units,1 Unit,1,-1,"(42.36880808, -71.10941079)"
57,140-142 Pleasant St,140 Pleasant St,101-207,5,1997,,1 Unit,3 Units,3,2,"(42.36033572, -71.11226698)"
534,155 Webster Ave,155 Webster Ave,78-79,3,2014,FY14,3 Units,4 Units,1,1,"(42.37030624, -71.09337714)"
551,74 Reservoir St,74 Reservoir St,232-15,10,2014,FY15,2 Units,1 Unit,1,-1,"(42.38181892, -71.13559005)"
143,181 Harvey St,181 Harvey St,190-248,11,2000,,Vacant Lot,32 Units,32,32,"(42.39756521, -71.13565069)"
501,165 Cambridgepark Dr,165 Cambridgepark Dr,267.4-176,11,2013,FY14,Factory/Warehouse,244 Units,244,244,"(42.39536002, -71.14741733)"
715,15 Lambert St,15 Lambert St,35-100,1,2018,FY19,298 units,300 units,2,2,"(42.37273279, -71.08688835)"
473,25 Healey St,25 Healey St,225-17,10,2012,,2 Units,1 Unit,1,-1,"(42.38028318, -71.12917777)"
698,10 North Point Blvd,10 North Point Blvd,1A-196,1,2018,FY18,DCR,140 units,140,140,"(42.37089533, -71.07065042)"
748,46 Mt. Vernon St,46 Mt Vernon St,177-6,9,2019,FY19,6 units,3 units,2,-3,"(42.38700688, -71.12128128)"
341,30 Holworthy St,30 Holworthy pL,253-132,13,2007,,3 Unit,2 Unit,2,-1,"(42.37671186, -71.14929827)"
539,50 Cedar St,50 Cedar St,192-56,11,2014,FY15,2 Units,1 Unit,1,-1,"(42.39471248, -71.13074823)"
154,49-A Trowbridge St,49 Trowbridge St,135-114,6,2000,,1 Unit,2 Units,2,1,"(42.37271043, -71.11134166)"
45,26 HINGHAM St,26 Hingham St,130-19,7,1997,,6 Units,4 Units,4,-2,"(42.36510795, -71.11480353)"
670,292 Main Street,292 Main Street,48-107,2,2017,FY18,commerical,454 Grad Student Units,454,454,"(42.36228209, -71.08586287)"
175,1-3 Marcella St,1 Marcella St,37-65,3,2001,,10 Units,12 Units,12,2,"(42.37133625, -71.08907109)"
405,14 SHERMAN St,14 Sherman St,206-49,9,2009,,1 Unit,3 Units,3,2,"(42.38466847, -71.12978816)"
186,101 Cushing St,101 Cushing St,254-16,13,2002,,1 Unit,2 Units,2,1,"(42.37762472, -71.15188664)"
43,54 GARFIELD St,54 Garfield St,155-7,8,1997,,6 Unit,2 Units,2,-4,"(42.38359969, -71.11739142)"
709,10 Dover St,10 Dover St,182-63,11,2018,FY19,2 units,6 units,6,4,"(42.39467669, -71.12658752)"
418,48 Concord Ave,48 Concord Ave,225-7,10,2010,,3 Units,2 Units,2,-1,"(42.38043285, -71.12813201)"
25,128 OXFORd St,128 Oxford St,151-13,8,1996,,7 Unit,3 Units,3,-4,"(42.38488814, -71.11594028)"
289,85-87 Chilton St,85 Chilton St,263-131,10,2006,,1 Unit,2 Units,2,1,"(42.38373258, -71.13767072)"
302,100-102 Hammond St,100 Hammond St,149-87,8,2006,,2 Units,2 Units,2,0,"(42.38156984, -71.11273139)"
321,85 Upland Road,85 Upland Road,201-71,9,2006,,6 Units,2 Units,2,-4,"(42.38772586, -71.12270379)"
566,131 Harvard St,131 Harvard St,42-98,4,2015,FY15,Vacant,20 Units,20,20,"(42.36543887, -71.09374781)"
437,246 Concord Ave,244 Concord Ave,230-45,10,2011,,3 Units,2 Units,2,-1,"(42.38303248, -71.13252182)"
38,11 CHAUNCY St,11 Chauncy St,173-51,9,1997,,Two Units,4 Units,4,2,"(42.37986715, -71.12179469)"
26,85 SHERMAN St,85 Sherman St,271-72,9,1996,,2 Units,11 Units,11,9,"(42.38822518, -71.1324812)"
651,1699 Massachusetts Ave,1699 Massachusetts Ave,155-32,8,2017,FY17,Parking Lot,16 Units,16,16,"(42.38306609, -71.11934844)"
258,59 Howard St,59 Howard St,122-105,7,2005,,2 Units,2 Units,2,0,"(42.36595997, -71.11105827)"
390,17 Rockwell St,17 Rockwell St,127-107,5,2008,,1 Unit,1 Unit,1,0,"(42.36263421, -71.11119047)"
53,263-265 MT AUBURN St,1 Gibson St,221-79,10,1997,,2 Units,1 Unit,1,-1,"(42.3749886, -71.13245195)"
724,63 Union St,63 Union St,79-112,3,2018,FY19,3 units,5 units,5,2,"(42.37100915, -71.09468942)"
15,50 GARdEN St,50 Garden St,215-22,9,1996,,1 Unit,2 Units,2,1,"(42.38008492, -71.12523062)"
571,46 Loomis St,46 Loomis St,267C-56,12,2015,FY15,1 Unit,Vacant Lot,0,-1,"(42.3933764, -71.1540406)"
185,320 Bent St/301 Binney St,157 Sixth St,31-13,1,2002,,Manufacturing,37 Units,37,37,"(42.36658425, -71.08618104)"
719,137 Mt Auburn St,137 Mt Auburn St,167-23,10,2018,FY19,2 units,2 units,2,0,"(42.37401124, -71.12439222)"
373,21-23 Gray St,23 Gray St,212-4,9,2008,,3 Units,2 Units,2,-1,"(42.38316585, -71.1223532)"
505,10 Glassworks Ave,10 Glassworks Ave,1A-82,1,2013,FY14,Vacant Office Bldg,104 Units,104,104,"(42.37027042, -71.07285343)"
111,98-100 Erie St,98 Erie St,96-127,5,1999,,Factory,16 Units,16,16,"(42.35868878, -71.10550598)"
588,6 Emmons Pl,6 Emmons Pl,140-2,6,2015,FY16,2 Units,3 Units,1,1,"(42.37694352, -71.10896865)"
620,125 Brookline St,125 Brookline St,94-58,5,2016,FY17,Auto Repair,6 Units,6,6,"(42.36087035, -71.10480363)"
702,27 St Sauveur St,27 St Sauveur Ct,256-31,13,2018,FY18,3 units,2 units,2,-1,"(42.3771704, -71.1529987)"
752,50 Rogers St,50 Rogers St,16-29,1,2019,FY19,commercial,136 units,136,136,"(42.36568362, -71.07896217)"
126,241 River St,241 River St,126-172,7,1999,,Residential,17 Units,17,17,"(42.36297436, -71.11178419)"
345,14 Lancaster St,14 Lancaster St,176-58,9,2007,,1 Unit,3 Units,3,2,"(42.38546939, -71.1203945)"
358,36 Royal Ave,36 Royal Ave,230-82,10,2007,,3 Units,1 Unit,1,-2,"(42.38236112, -71.13219547)"
197,196 Auburn St,196 Auburn St,105-26,5,2003,,Rooming House 13 Rooms,7 Units,7,-6,"(42.36419068, -71.10619253)"
543,35 Cottage Park Ave,35 Cottage Park Ave,189-104,11,2014,FY15,Fawcett Oil,57 Units,57,57,"(42.39820661, -71.13346346)"
461,17 Clary St,17 Clary St,83-48,3,2012,,1 Unit,5 Units,5,4,"(42.37417509, -71.09834457)"
158,19 Willard St,1 Foster St,220-87,10,2000,,1 Unit,1 Unit,1,0,"(42.37573018, -71.12835845)"
560,66 Clay St,66 Clay St,193-36,11,2015,FY15,2 Units,1 Unit,1,-1,"(42.39540055, -71.13433076)"
638,27 Berkshire St,27 Berkshire St,40-97,3,2017,FY17,3 Units,Vacant,0,-3,"(42.36895186, -71.09175409)"
190,55 Essex St/JFK Apts,55 Essex St,90-183,4,2002,,83 Units,69 Units,69,-14,"(42.3676645, -71.10118175)"
21,33 Linnean St,33 Linnaean St,211-8,9,1996,,1 Unit,Single + 4 Units,5,4,"(42.38398271, -71.12305756)"
422,111-113 Grozier Rd,111 Grozier Rd,248-68,10,2010,,2 Units,1 Unit,1,-1,"(42.38097046, -71.14231108)"
47,1008 Mass Ave,1008 Mass Ave,121-114,7,1997,,Vacant,67 Units,67,67,"(42.36925224, -71.11134537)"
94,45 REED St,45 Reed St,192-26,11,1998,,Vacant Lot,2 Units,2,2,"(42.39465294, -71.13186598)"
607,9 Donnell St,9 Donnell St,229-122,9,2016,FY16,2 Units,Vacant,0,-2,"(42.38394525, -71.13261406)"
285,54-56 Banks St,54 Banks St,132-61,7,2006,,3 Family,1 Unit,1,-2,"(42.36933416, -71.11453685)"
771,112 Holworthy St,112 Holworthy St,254-24,13,2019,FY20,1 unit,2 units,1,1,"(42.37765896, -71.15081551)"
417,126 Charles St,126 Charles St,27-25,1,2010,,Office,8 Units,8,8,"(42.36755552, -71.08207192)"
326,378 Broadway,378 Broadway,115-103,6,2007,,1 Unit,2 Units,2,1,"(42.37081201, -71.10558644)"
153,101 Third St,101 Third St,24-87,1,2000,,Church,4 Units,4,4,"(42.36979753, -71.08023781)"
229,146-152 Prospect St,146 Prospect St,88-49,4,2004,,2 Units,13 Units,13,11,"(42.36877013, -71.10113374)"
290,199-207 Columbia St,199 Columbia St,86-83,4,2006,,4 Units,13 Units,13,9,"(42.36824974, -71.09729421)"
449,66 Oxford St,66 Oxford St,149-8,8,2011,,1 Unit,4 Units,4,3,"(42.3812459, -71.11616035)"
58,24A PRENTISS St,24 Prentiss St,154-85,8,1997,,3 Units,2 Units,2,-1,"(42.38430907, -71.11753957)"
317,148 Richdale Ave,148 Richdale Ave,202-21,9,2006,,2 Units,3 Units,3,1,"(42.38911865, -71.12657661)"
79,39-41 Inman St,39 Inman St,118-54,6,1998,,20 Room Bdg House,4 Units,4,-16,"(42.36867604, -71.10401538)"
262,43-45 Magee St,43 Magee St,122-113,7,2005,,2 Units,1 Unit,1,-1,"(42.36621778, -71.11169511)"
30,180-182 APPLETON St,180 Appleton St,230-63,10,1997,,3 Units,2 Units,2,-1,"(42.38240795, -71.13345312)"
217,67 Bay State Rd,67 Bay State Rd,273-38,9,2004,,1 Unit,5 Units,5,4,"(42.38758665, -71.13879979)"
476,4 Kimball Ln,4 Kimball Ln,196-144,11,2012,,1 Unit,1 Unit,1,0,"(42.39404308, -71.12906384)"
493,15 Kinnaird St,15 Kinnaird St,125-26,7,2013,FY13,2 Units,1 Unit,1,-1,"(42.36461387, -71.10905206)"
165,799 Cambridge St,799 Cambridge St,36-196,3,2001,,Vacant Lot,2 Unit Addition,2,2,"(42.37243213, -71.09004204)"
757,117 Walden St,117 Walden St,202-95,9,2019,FY19,2 units,3 units,1,1,"(42.38780703, -71.12658244)"
180,173 Pleasant St,173 Pleasant St,128-68,5,2001,,Vacant,32 Units,32,32,"(42.35963363, -71.11412754)"
592,1 Langdon St,1 Langdon St,173-67,9,2015,FY16,Basement,5 Units,5,5,"(42.38089676, -71.12014572)"
444,931 Massachusetts Ave,931 Massachusetts Ave,116-99,6,2011,,2 Units,1 Unit,1,-1,"(42.36880808, -71.10941079)"
322,37 Wheeler St,31 Wheeler St,267F-275,12,2006,,Comm Bldg,72 Units,72,72,"(42.3898778, -71.14484405)"
377,95 Harvey St,95 Harvey St,190-244,11,2008,,Commercial,8 Units,8,8,"(42.39741162, -71.13332772)"
624,6 Emmons Pl,6 Emmons Pl,140-2,6,2016,FY17,2 Units,2 Units,2,0,"(42.37694352, -71.10896865)"
212,119 Pine St,119 Pine St,75-37,4,2003,,Vacant,Erect 1 Condo Unit,1,1,"(42.36607106, -71.09765928)"
646,39 Hammond St,39 Hammond St,149-93,8,2017,FY17,2 Units,3 Units,1,1,"(42.38092532, -71.11490938)"
254,76-78 Hammond St,76 Hammond St,149-38,8,2005,,2 Units,1 Unit,1,-1,"(42.38110674, -71.11363189)"
486,20 DEWOLFE ST,20 Dewolfe St,ERROR: #N/A,7,2013,FY13,80 Units,78 Units,0,-2,"(42.37003373, -71.11662318)"
107,70 BROOKLINE St,70 Brookline St,92-124,5,1999,,Vacant,16 Units,16,16,"(42.36242156, -71.10273299)"
239,25 Avon St,25 Avon St,212-19,9,2005,,2 Units,3 Units,3,1,"(42.38226313, -71.12303663)"
122,74-76 Putnam Ave,74 Putnam Ave,122-125,7,1999,,Vacant,3 Units,3,3,"(42.36767721, -71.11341233)"
515,26 Vineyard St,26 Vineyard St,256-35,13,2013,FY14,2 Units,2 Units,2,0,"(42.3786246, -71.15330582)"
349,1-3 Marcella St,1 Marcella St,37-65,3,2007,,12 Units,16 Units,16,4,"(42.37133625, -71.08907109)"
575,199 Prospect St,199 Prospect St,109-80,6,2015,FY15,Commercial Condo,1 Unit,1,1,"(42.37035391, -71.10050295)"
85,2511-2517 Mass Ave,2511 Mass Ave,184-9,11,1998,,Vacant Lot,4 Units,4,4,"(42.39979182, -71.13274973)"
354,17 Perry St,17 Perry St,103-72,5,2007,,6 Units,3 Units,3,-3,"(42.36221825, -71.10680948)"
481,100 Pacific St,100 Pacific St,95-58,5,2012,,Commercial,11 Units,11,11,"(42.36072854, -71.10349328)"
603,21 Bay St,21 Bay St,121-30,7,2016,FY16,4 Units,3 Units,3,-1,"(42.36800485, -71.11109267)"
767,17 Ellsworth Ave,17 Ellsworth Ave,139-62,6,2019,FY20,1 units,2 units,1,1,"(42.37350623, -71.10696048)"
148,2443 Mass Ave,2443 Mass Ave,184-172,11,2000,,Vacant,15 Units W/ Comm Space,15,15,"(42.39815057, -71.13084494)"
398,14-16 Kelly Rd,14 Kelly Rd,104-116,5,2009,,4 Units,2 Units,2,-2,"(42.36214087, -71.10893161)"
687,5 Columbia St,9 Columbia St,91-206,4,2018,FY18,commercial,60 units,60,60,"(42.36388654, -71.0998447)"
281,2-6 Athens Terr,2 Athens Ter,132-133,7,2006,,Parking,3 Units,3,3,"(42.36999782, -71.1152824)"
62,175 Richdale Ave,175 Richdale Ave,202-131,9,1997,,Vacant Lot,43 Units,43,43,"(42.3895802, -71.12774698)"
634,11 Walden St,15 Walden St,199-86,11,2016,FY17,5 Units,4 Units,5,-1,"(42.3909263, -71.12376425)"
692,209 Green St,209 Green St,93-105,5,2018,FY18,1 unit,2 units,2,1,"(42.36395597, -71.10268052)"
734,601 Franklin St,601 Franklin St,121-44,7,2019,FY19,2 units,1 unit,1,-1,"(42.36855784, -71.11277126)"
222,248-250 Concord Ave,248 Concord Ave,230-44,10,2004,,3 Unit,2 Unit,2,-1,"(42.3830667, -71.13264845)"
294,50-units 505/506 Follen St,50 Follen St,172-65,9,2006,,2 Units,1 Unit,1,-1,"(42.37807825, -71.1211915)"
454,277 Western Ave,281 Western Ave,122-175,7,2011,,Commercial,Comm/2 Units,2,2,"(42.36470607, -71.11247202)"
133,334 BROADWAY,334 Broadway,108-32,6,2000,,Office/1 Unit,2 Units,2,1,"(42.36972606, -71.10237421)"
775,238 Pearl St,238 Pearl St,97-27,5,2019,FY20,1 unit,3 units,2,2,"(42.35880734, -71.10885784)"
397,11 Hemlock Rd,11 Hemlock Rd,231-51,10,2009,,1 Unit,1 Unit,1,0,"(42.38051696, -71.13328059)"
90,346 Norfolk St,346 Norfolk St,85-81,3,1998,,2 Units,1 Unit,1,-1,"(42.37263073, -71.09617244)"
134,803-815 Cambridge St,803 Cambridge St,36-124,3,2000,,Car Rental/3 Units,14 Units,14,11,"(42.37245881, -71.09023646)"
660,50 York St,50 York St,40-243,3,2017,FY17,16 Units,0 Units,0,-16,"(42.36948565, -71.09197263)"
412,289 Brookline St,289 Brookline St,97-86,5,2010,,2 Units,1 Unit,1,-1,"(42.35704997, -71.10857101)"
117,100-104 Mt Auburn St,100 Mt Auburn St,162-74,10,1999,,Business/Church/3 Units,6 Units/Business,6,3,"(42.37260397, -71.1206453)"
244,407-411 Cambridge St,411 Cambridge St,23-134,1,2005,,6 Units,6 Units,6,0,"(42.37152558, -71.08299272)"
429,41 Magnolia St,41 Magnolia Ave,140-126,6,2010,,3 Units,2 Units,2,-1,"(42.37662132, -71.10623634)"
2,243 BENT St,243 Bent St,27-6,1,1996,,Storage,11 Units,11,11,"(42.36752027, -71.08474277)"
266,2495 Massachusetts Ave,2495 Massachusetts Ave,184-192,11,2005,,Car Repair,14 Units,14,14,"(42.39924439, -71.13224593)"
508,19 Hutchinson St,19 Hutchinson St,230-110,10,2013,FY14,Two-Family,One-Family,1,-1,"(42.38251651, -71.13441733)"
528,19 Myrtle Ave,19 Myrtle Ave,141-101,6,2014,FY14,2 Units,1 Unit,1,-1,"(42.37711002, -71.10698772)"
313,239-241 Prospect St,239 Prospect St,110-65,6,2006,,Vacant,8 Units,8,8,"(42.3712053, -71.09984284)"
75,26-28 Garden St,26 Garden St,216-8,10,1998,,6 Units,3 Units,3,-3,"(42.37815155, -71.12381765)"
207,22 Lopez St,22 Lopez St,94-52,5,2003,,1 Unit,2 Units,2,1,"(42.36140813, -71.10473687)"
308,2101 Massachusetts Ave,2101 Massachusetts Ave,181-37,11,2006,,Vfw,9 Units,9,9,"(42.39167975, -71.12348468)"
293,3 Ellsworth Park,3 Ellsworth Park,112-8,6,2006,,3 Units,1 Unit,1,-2,"(42.37305521, -71.10641837)"
234,15 St Paul St,15 St Paul St,107-56,6,2004,,5 Units,4 Units,4,-1,"(42.36809086, -71.10316809)"
453,49 Trowbridge St,49 Trowbridge St,135-114,6,2011,,2 Units,1 Unit,1,-1,"(42.37271043, -71.11134166)"
7,457-463 Cambridge St,457 Cambridge St,23-16,1,1996,,8 Units/2 Stores,10 Units,2,2,"(42.3716366, -71.08384688)"
249,13 Ellsworth Ave,13 Ellsworth Ave,139-64,6,2005,,2 Units,1 Unit,1,-1,"(42.37323727, -71.1071874)"
61,130-138 Richdale Ave,130 Richdale Ave,202-107,9,1997,,Vacant Lot,4 Units,4,4,"(42.38890956, -71.12608096)"
381,132-134 Larch Rd,134 Larch Rd,249-57,10,2008,,2 Units,1 Unit,1,-1,"(42.37933081, -71.14331352)"
118,37 Mt Vernon St,37 Mt Vernon St,177-29,9,1999,,Vacant,1 Unit,1,1,"(42.38744224, -71.1207874)"
513,7-11 Temple Pl,5 Temple St,107-139,6,2013,FY14,Ywca Pool And Offices,42 Units,42,42,"(42.366577, -71.10434428)"
440,172-180 Franklin St,172 Franklin St,93-100,5,2011,,Commercial/Parking?,5 Units,5,5,"(42.36301947, -71.10285246)"
678,249 Third St,249 Third St,27-97,1,2017,FY18,parking lot,84 units,84,84,"(42.3667301, -71.08213484)"
271,208 Prospect St,208 Prospect St,87-9,4,2005,,2 Units,3 Units,3,1,"(42.37048622, -71.10005309)"
530,207 Prospect St,207 Prospect St,109-42,6,2014,FY14,1 Unit,3 Units,3,2,"(42.37055206, -71.10052424)"
661,2 Bedford Street,2 Bedford Street,36-66,3,2017,FY18,1 unit,1 unit,1,0,"(42.37362911, -71.08870258)"
547,4 Frost St,4 Frost St,153-36,8,2014,FY15,6 Units,2 Units,2,-4,"(42.38639317, -71.11725869)"
86,2519-2525 Mass Ave,2519 Mass Ave,184-9,11,1998,,Vacant Lot,4 Units,4,4,"(42.39982783, -71.133153)"
