,key,counts
348,making,1
444,viewing,1
445,follow-up,1
446,appreciative,1
447,transitioning,1
448,greater,1
451,etc,1
453,guest,1
454,locations,1
456,maid,1
457,rents,1
459,suitcase,1
460,love,1
461,giving,1
463,pizza,1
464,gift,1
443,confirmation,1
465,card,1
442,in-person,1
440,software,1
422,central,1
424,t-stations,1
425,basically,1
426,extra,1
427,thinking,1
428,keep,1
429,aided,1
430,transition,1
432,smoothest,1
434,ever,1
435,experienced,1
436,coming,1
437,city,1
438,able,1
439,connected,1
441,proceed,1
421,appartments,1
466,invitation,1
468,instant,1
497,whole,1
498,marvelous,1
499,flexible,1
500,cozy,1
501,here,1
502,thanks,1
503,4,1
504,trip,1
507,twice,1
509,common,1
510,rocks,1
511,satisfaction,1
513,relations,1
515,network,1
516,its,1
496,promotions,1
467,party,1
494,organize,1
492,arrive,1
469,repairs,1
470,call,1
472,several,1
474,arrived,1
475,absolutely,1
476,well-equipped,1
477,slack,1
478,site,1
479,manage,1
480,chat,1
481,individuals,1
482,1:1,1
484,etcetera,1
485,mostly,1
487,professionals,1
493,ready,1
517,culture,1
420,neat,1
418,top,1
696,even,1
349,enjoyable,1
350,two,1
353,harvard,1
354,university,1
357,leased,1
359,times,1
360,off-campus,1
361,consistently,1
362,receive:,1
363,exceptional,1
364,service;,1
365,professionalism;,1
366,responsivecaring,1
367,staff;,1
347,guys,1
368,unitsrooms;,1
346,friendly,1
342,our,1
312,sad,1
314,leaving,1
318,breeze,1
319,it's,1
320,almost,1
322,believe,1
324,reliable,1
325,international,1
330,abroad,1
332,trust,1
333,money,1
334,scared,1
335,ended,1
336,finding,1
339,247,1
343,comfy,1
419,ambitious,1
370,locations;,1
372,established,1
400,listened,1
401,took,1
402,situation,1
404,reconsideration,1
405,limitation,1
406,effort,1
407,tried,1
409,solution,1
410,principle,1
411,frame,1
412,appricated,1
413,once,1
415,paperwork,1
416,soft,1
417,wish,1
398,big,1
371,options,1
397,called,1
394,sweden,1
373,friendships,1
374,simply,1
376,become,1
377,away,1
378,every,1
379,enthusiastically,1
381,accommodations,1
383,using,1
384,around,1
386,ma,1
387,stunning,1
388,excellennt,1
389,efficiency,1
390,creative,1
392,solving,1
395,unappropriate,1
518,interesting,1
519,safety,1
520,secure,1
638,knowing,1
639,starting,1
640,job,1
641,co-living,1
642,world,1
643,chile,1
644,china,1
645,france,1
646,germany,1
647,india,1
649,enjoy,1
650,sharing,1
652,other's,1
654,newly,1
655,renovated,1
637,barely,1
656,necessary,1
636,arriving,1
634,incredible,1
618,keeping,1
619,repair,1
620,answering,1
621,dealing,1
622,high,1
623,product,1
624,without,1
625,reservation,1
627,finish,1
628,helped,1
629,awful,1
630,never,1
631,let,1
632,feelings,1
633,business,1
635,being,1
617,harmony,1
657,appliances,1
659,bathroom,1
680,priced,1
681,lot,1
682,importance,1
683,toilet,1
685,towels,1
686,provided,1
687,alternative,1
688,hostels,1
689,hotels,1
690,airbnb,1
691,short-term,1
692,pleasure,1
693,2017,1
694,seeing,1
695,grow,1
679,reasonably,1
658,laundry,1
677,list,1
675,activities,1
660,furniture,1
661,bed,1
662,tables,1
663,storage,1
664,electricity,1
665,set,1
666,country,1
667,part,1
668,1,1
669,bill,1
670,pay,1
671,month;,1
672,maximising,1
673,spare,1
674,spend,1
676,bucket,1
616,guidelines,1
615,laying,1
614,clearly,1
547,quickness,1
548,reply,1
549,questionsconcerns,1
550,transparency,1
551,tough,1
552,spot,1
553,trying,1
554,understanding,1
555,helping,1
556,constraints,1
558,staying,1
560,greatest,1
561,roomates,1
562,felt,1
563,warm,1
546,appreciate,1
564,mention,1
544,amenities,1
542,payment,1
522,approachable,1
523,arises,1
524,doubt,1
525,contacting,1
527,lived,1
528,9,1
529,flexibility,1
530,terms,1
531,order,1
534,program,1
535,her,1
536,arose,1
537,overall,1
538,platform,1
541,resumes,1
543,having,1
565,cool,1
566,aware,1
567,may,1
597,careful,1
598,take,1
599,skeptical,1
601,must,1
602,say,1
603,struck,1
604,by,1
606,mates,1
607,six,1
608,total,1
609,course,1
610,four,1
611,bedroom,1
612,initial,1
613,before,1
595,told,1
594,bright,1
593,bathrooms,1
592,including,1
568,arise,1
569,resolve,1
571,addition,1
572,organizing,1
573,ask,1
575,requirements,1
576,others,1
309,i’d,1
577,miss,1
582,concerned,1
583,him,1
584,share,1
586,know,1
587,pleased,1
590,worked,1
591,updated,1
580,under,1
307,daniel,1
697,more,1
71,agile,1
60,satisfied,1
62,7,1
234,presence,1
170,instinctively,1
171,turned,1
232,onboarding,1
64,spent,1
230,paid,1
229,signed,1
172,craigslist,1
227,connecting,1
226,days,1
223,next,1
220,showed,1
219,a+,1
59,quite,1
176,boards,1
238,a's,1
168,month,1
187,garbage-y,1
252,ave,1
251,highland,1
250,286,1
249,courteous,1
248,unnecessary,1
247,annoying,1
246,makes,1
245,certain,1
304,interacted,1
56,urgently,1
165,recomendable,1
242,usps,1
85,located,1
167,3,1
239,far,1
254,bedrooms,1
177,random,1
67,recommmend,1
200,foot,1
199,50,1
198,single,1
197,weren't,1
183,mess,1
196,deals,1
184,scams,1
194,filtered,1
185,galore,1
76,offer,1
192,show,1
191,that'd,1
190,spots,1
189,parking,1
188,posts,1
181,man,1
217,humans,1
81,found,1
179,searches,1
216,real,1
215,2,1
69,amazing:,1
108,equipment,1
212,via,1
72,client,1
73,oriented,1
209,followed,1
208,upon,1
207,stumbled,1
206,yuck,1
205,person,1
204,half,1
178,google,1
202,wouldn't,1
74,additionally,1
256,turnaround,1
186,lots,1
124,regularly,1
277,build,1
294,placeme’s,1
106,whatever,1
98,t,1
279,scratch,1
105,store,1
99,buses,1
37,talk,1
281,respond,1
282,inquiries,1
283,payments,1
128,unbelievable,1
129,apartmentroom,1
104,drug,1
90,porter,1
292,stars,1
291,5,1
100,bike,1
285,easily,1
286,wifi,1
137,fascinated,1
101,stations,1
287,s,1
103,supermarket,1
122,household,1
102,shops,1
266,10,1
115,clearning,1
302,huge,1
45,-pizza,1
116,some,1
93,access,1
42,those,1
264,fantastic,1
119,diminished,1
120,noticeably,1
155,plymouth,1
113,rely,1
27,provide,1
303,plus,1
107,imagine,1
298,addressing,1
97,transportation,1
297,prompt,1
273,rental,1
46,cards,1
579,son,2
123,chores,2
117,supplies,2
578,moved,2
557,forward,2
121,amount,2
182,what,2
574,many,2
114,provision,2
89,close,2
140,facilities,2
539,look,2
600,event,2
91,square,2
508,house,2
506,internet,2
514,help,2
596,us,2
88,location,2
87,regarding,2
152,capable,2
86,equipped,2
151,sensitive,2
150,wonderful,2
521,services,2
94,different,2
95,type,2
146,interns,2
526,enjoyed,2
145,especially,2
144,win-win,2
605,his,2
589,things,2
588,way,2
532,meet,2
488,who,2
83,both,2
174,facebook,2
175,message,2
483,questions,2
585,did,2
540,where,2
505,anything,2
570,immediately,2
44,perks,2
52,came,2
382,cambridgeboston,2
327,often,2
48,parties,2
380,hassle-free,2
47,tenant,2
328,live,2
260,could,2
375,put,2
31,always,2
265,past,2
369,safe,2
32,reach,2
340,support,2
648,only,2
289,use,2
275,already,2
276,no,2
358,three,2
356,graduate,2
651,each,2
653,too,2
352,during,2
351,years,2
284,made,2
345,appreciated,2
288,available,2
341,loved,2
290,again,2
29,personal,2
253,property,2
396,after,2
684,paper,2
12,rent,2
310,stays,2
455,because,2
311,fast,2
13,just,2
203,fit,2
431,back,2
221,few,2
222,rentals,2
224,day,2
423,areas,2
393,care,2
225,within,2
36,phone,2
235,quality,2
299,maintenance,2
626,start,2
414,deal,2
399,move,2
243,regular,2
233,online,2
321,hard,2
678,renting,2
240,done,2
296,awesome,2
57,accommodation,2
295,somerville,3
326,student,3
21,worry,3
118,which,3
581,he,3
133,totally,3
301,monthly,3
559,over,3
462,tenants,3
344,most,3
473,first,3
195,search,3
458,come,3
452,attentive,3
75,leases,3
449,young,3
66,definitely,3
173,then,3
489,like,3
490,new,3
491,since,3
337,utilities,3
495,events,3
391,problem,3
160,friends,3
255,quick,3
158,conversations,3
259,issues,3
263,recommended,3
269,needs,3
271,or,3
272,long,3
58,am,3
305,francisco,3
14,one,4
30,-,4
79,convenient,4
43,little,4
164,quickly,4
149,management,4
512,good,4
157,space,4
293,pleasant,4
141,this,4
533,year,4
329,while,4
323,how,4
408,best,4
385,cambridge,4
135,if,4
169,lease,4
486,working,4
315,thank,4
300,requests,4
433,i've,4
471,stayed,4
63,months,5
180,apartments,5
53,through,5
159,make,5
214,but,5
237,get,5
268,out,5
403,into,5
18,don't,5
5,much,5
112,also,5
313,be,5
131,comfortable,5
274,area,5
19,need,5
450,professional,5
142,leasing,5
338,included,5
40,work,5
210,up,5
22,about,6
244,cleaning,6
228,them,6
6,needed,6
41,there,6
70,responsive,6
213,not,6
23,looking,6
267,easy,6
109,find,6
143,option,6
127,process,6
84,well,6
162,amazing,6
111,kitchen,6
201,rooms,6
38,people,7
278,from,7
148,term,7
355,as,7
54,when,7
545,been,7
34,company,7
17,room,7
139,home,7
161,your,7
270,anyone,7
280,helpful,7
51,excellent,7
15,fully,7
163,housing,7
125,do,7
126,customer,7
65,would,7
153,living,8
11,can,8
136,stay,8
316,staff,8
258,any,8
261,has,8
147,short,8
50,nice,8
317,an,9
35,on,9
78,super,9
25,roommates,9
16,furnished,9
306,clara,9
110,everything,9
231,their,9
130,really,9
82,place,9
262,highly,10
308,were,10
138,experience,10
80,we,10
211,me,11
257,time,11
49,so,12
154,at,12
39,that,13
68,team,13
132,clean,13
77,are,13
9,boston,14
331,it,14
134,recommend,14
156,apartment,14
92,have,15
241,,15
236,all,16
166,had,18
7,service,21
26,they,22
218,was,23
10,you,23
28,very,24
3,great,24
193,my,25
1,is,26
96,of,27
24,for,30
0,placeme,42
8,in,45
61,with,46
55,i,46
2,a,56
20,to,71
33,the,89
4,and,115
